ID,Gene,ncbi,RSG
735,hsa1572,1572,NG_007930.1
736,hsa1576,1576,NG_008421.1
737,hsa1579,1579,NG_007932.1
738,hsa158,158,NG_007993.2
739,hsa1580,1580,NG_007939.1
740,hsa1582,1582,NG_007970.1
741,hsa1583,1583,NG_007973.1
742,hsa158326,158326,NG_017005.2
743,hsa1584,1584,NG_007954.1
744,hsa1585,1585,NG_008374.1
745,hsa1586,1586,NG_007955.1
746,hsa158787,158787,NG_033076.2
747,hsa158798,158798,NG_013218.1
748,hsa1588,1588,NG_007982.1
749,hsa158809,158809,NG_013247.1
750,hsa1589,1589,NG_007941.3
751,hsa159090,159090,NG_016348.1
752,hsa159296,159296,NG_016854.1
753,hsa1593,1593,NG_007959.1
754,hsa1595,1595,NG_007968.1
755,hsa16,16,NG_023191.1
756,hsa1600,1600,NG_046914.2
757,hsa1601,1601,NG_030312.1
758,hsa160140,160140,NG_054724.1
759,hsa1602,1602,NG_011849.3
760,hsa1604,1604,NG_007465.1
761,hsa160418,160418,NG_021187.1
762,hsa1605,1605,NG_013230.4
763,hsa160622,160622,NG_050572.1
764,hsa1607,1607,NG_029494.2
765,hsa160851,160851,NG_029191.3
766,hsa1610,1610,NG_023236.1
767,hsa1611,1611,NG_011546.1
768,hsa1612,1612,NG_029883.1
769,hsa1615,1615,NG_034149.1
770,hsa161582,161582,NG_021213.1
771,hsa1617,1617,NG_008286.1
772,hsa161742,161742,NG_008980.1
773,hsa1618,1618,NG_023329.1
774,hsa1621,1621,NG_008645.1
775,hsa162417,162417,NG_008106.1
776,hsa1629,1629,NG_011852.2
777,hsa1630,1630,NG_013341.2
778,hsa163183,163183,NG_042831.1
779,hsa163227,163227,NG_054926.1
780,hsa1633,1633,NG_023303.1
781,hsa1634,1634,NG_011672.1
782,hsa163590,163590,NG_053185.1
783,hsa1636,1636,NG_011648.1
784,hsa163786,163786,NG_051914.1
785,hsa1639,1639,NG_008735.2
786,hsa1641,1641,NG_011750.1
787,hsa1642,1642,NG_032697.2
788,hsa1643,1643,NG_009365.1
789,hsa1644,1644,NG_008742.1
790,hsa1646,1646,NG_031852.1
791,hsa164656,164656,NG_012856.2
792,hsa1649,1649,NG_027674.1
793,hsa165,165,NG_056775.1
794,hsa1650,1650,NG_032064.1
795,hsa1654,1654,NG_012830.2
796,hsa165904,165904,NG_054927.1
797,hsa165918,165918,NG_023425.1
798,hsa166,166,NG_029870.1
799,hsa1660,1660,NG_029930.1
800,hsa166012,166012,NG_029855.1
801,hsa1662,1662,NG_046987.1
802,hsa1663,1663,NG_023352.1
803,hsa1666,1666,NG_008042.2
804,hsa166647,166647,NG_032963.1
805,hsa166785,166785,NG_007536.2
806,hsa167227,167227,NG_029929.2
807,hsa1673,1673,NG_023301.1
808,hsa1674,1674,NG_008043.1
809,hsa1675,1675,NG_007274.1
810,hsa1676,1676,NG_029098.1
811,hsa167691,167691,NG_016011.1
812,hsa1678,1678,NG_011734.1
813,hsa168667,168667,NG_031933.1
814,hsa1687,1687,NG_011593.1
815,hsa1690,1690,NG_008211.2
816,hsa169026,169026,NG_016991.1
817,hsa169522,169522,NG_012181.1
818,hsa169792,169792,NG_011782.2
819,hsa169966,169966,NG_016384.2
820,hsa170261,170261,NG_042836.1
821,hsa170392,170392,NG_051614.1
822,hsa170959,170959,NG_051229.1
823,hsa171023,171023,NG_027868.1
824,hsa171484,171484,NG_021290.1
825,hsa171558,171558,NG_029636.1
826,hsa1716,1716,NG_008044.1
827,hsa1717,1717,NG_012655.2
828,hsa1718,1718,NG_008839.1
829,hsa1719,1719,NG_023304.1
830,hsa1727,1727,NG_012194.1
831,hsa1728,1728,NG_011504.2
832,hsa1729,1729,NG_011594.2
833,hsa1730,1730,NG_008433.2
834,hsa1733,1733,NG_023306.1
835,hsa1736,1736,NG_009780.1
836,hsa1737,1737,NG_013342.1
837,hsa1738,1738,NG_008045.1
838,hsa1739,1739,NG_029099.1
839,hsa174,174,NG_023028.1
840,hsa1740,1740,NG_021375.2
841,hsa1741,1741,NG_015849.2
842,hsa1742,1742,NG_008391.2
843,hsa1743,1743,NG_030313.1
844,hsa1745,1745,NG_009218.1
845,hsa1746,1746,NG_009219.1
846,hsa1747,1747,NG_023063.1
847,hsa1748,1748,NG_030592.1
848,hsa1749,1749,NG_009220.1
849,hsa175,175,NG_011845.2
850,hsa1755,1755,NG_012644.1
851,hsa1756,1756,NG_012232.1
852,hsa1757,1757,NG_008987.1
853,hsa1758,1758,NG_008988.1
854,hsa1759,1759,NG_029726.1
855,hsa176,176,NG_012794.1
856,hsa1760,1760,NG_009784.1
857,hsa1761,1761,NG_009221.1
858,hsa1767,1767,NG_013081.2
859,hsa177,177,NG_029868.1
860,hsa1770,1770,NG_047047.1
861,hsa1773,1773,NG_009285.1
862,hsa1778,1778,NG_008777.1
863,hsa178,178,NG_012865.1
864,hsa1785,1785,NG_008792.1
865,hsa1786,1786,NG_028016.3
866,hsa1788,1788,NG_029465.2
867,hsa1789,1789,NG_007290.1
868,hsa1793,1793,NG_033919.2
869,hsa1794,1794,NG_051800.1
870,hsa1795,1795,NG_028012.2
871,hsa1796,1796,NG_050617.1
872,hsa1798,1798,NG_008918.1
873,hsa18,18,NG_008432.1
874,hsa1801,1801,NG_051946.1
875,hsa1804,1804,NG_033878.2
876,hsa1806,1806,NG_008807.2
877,hsa1807,1807,NG_008840.2
878,hsa1808,1808,NG_030020.1
879,hsa181,181,NG_011501.1
880,hsa1811,1811,NG_008046.1
881,hsa1812,1812,NG_011802.1
882,hsa1813,1813,NG_008841.1
883,hsa1814,1814,NG_008842.2
884,hsa1815,1815,NG_021241.1
885,hsa1816,1816,NG_012024.1
886,hsa182,182,NG_007496.1
887,hsa1821,1821,NG_016403.1
888,hsa1822,1822,NG_008047.1
889,hsa1823,1823,NG_029192.1
890,hsa1824,1824,NG_008208.2
891,hsa1825,1825,NG_016782.1
892,hsa1827,1827,NG_007071.1
893,hsa1828,1828,NG_011803.2
894,hsa1829,1829,NG_007072.3
895,hsa183,183,NG_008836.2
896,hsa1832,1832,NG_008803.1
897,hsa1837,1837,NG_009201.1
898,hsa1848,1848,NG_033915.1
899,hsa185,185,NG_008468.1
900,hsa1854,1854,NG_029497.1
901,hsa1855,1855,NG_008048.2
902,hsa1856,1856,NG_033038.1
903,hsa1857,1857,NG_046860.1
904,hsa1859,1859,NG_009366.1
905,hsa186,186,NG_016326.1
906,hsa1861,1861,NG_008049.1
907,hsa1869,1869,NG_046988.1
908,hsa1871,1871,NG_029591.1
909,hsa1889,1889,NG_013008.2
910,hsa189,189,NG_008005.1
911,hsa1890,1890,NG_011860.1
912,hsa1892,1892,NG_042077.1
913,hsa1893,1893,NG_012062.1
914,hsa1896,1896,NG_009809.2
915,hsa19,19,NG_007981.1
916,hsa190,190,NG_009814.1
917,hsa1901,1901,NG_016181.1
918,hsa1906,1906,NG_016196.1
919,hsa1908,1908,NG_008050.1
920,hsa1909,1909,NG_013343.1
921,hsa191,191,NG_012630.2
922,hsa1910,1910,NG_011630.3
923,hsa1911,1911,NG_042273.1
924,hsa1917,1917,NG_034083.1
925,hsa192134,192134,NG_053138.1
926,hsa1938,1938,NG_042274.1
927,hsa1945,1945,NG_029561.1
928,hsa1947,1947,NG_008887.1
929,hsa1950,1950,NG_011441.2
930,hsa1951,1951,NG_034061.1
931,hsa1952,1952,NG_052669.1
932,hsa1954,1954,NG_033030.1
933,hsa1956,1956,NG_007726.3
934,hsa1958,1958,NG_021374.1
935,hsa1959,1959,NG_008936.2
936,hsa1962,1962,NG_015999.1
937,hsa196374,196374,NG_012297.1
938,hsa196528,196528,NG_052800.1
939,hsa1967,1967,NG_015862.1
940,hsa1968,1968,NG_016387.1
941,hsa1969,1969,NG_021396.1
942,hsa197,197,NG_011436.1
943,hsa197131,197131,NG_012182.1
944,hsa197320,197320,NG_028146.1
945,hsa197358,197358,NG_033123.1
946,hsa1977,1977,NG_047048.2
947,hsa1981,1981,NG_016850.1
948,hsa1991,1991,NG_009627.1
949,hsa1993,1993,NG_016425.2
950,hsa2,2,NG_011717.2
951,hsa20,20,NG_011789.1
952,hsa2000,2000,NG_016388.1
953,hsa2001,2001,NG_029477.1
954,hsa2002,2002,NG_009222.1
955,hsa2005,2005,NG_029563.1
956,hsa200576,200576,NG_021188.1
957,hsa2006,2006,NG_009261.1
958,hsa2009,2009,NG_052827.1
959,hsa200958,200958,NG_033877.1
960,hsa2010,2010,NG_008677.1
961,hsa2011,2011,NG_029771.1
962,hsa201163,201163,NG_008001.2
963,hsa201294,201294,NG_007266.1
964,hsa2013,2013,NG_042058.1
965,hsa201595,201595,NG_034164.1
966,hsa2017,2017,NG_029881.1
967,hsa201725,201725,NG_033150.1
968,hsa2018,2018,NG_013009.1
969,hsa2019,2019,NG_007123.1
970,hsa2020,2020,NG_007124.1
971,hsa2022,2022,NG_009551.1
972,hsa2023,2023,NG_029470.1
973,hsa2027,2027,NG_012063.2
974,hsa2029,2029,NG_029499.1
975,hsa203,203,NG_011792.2
976,hsa2030,2030,NG_042893.1
977,hsa203068,203068,NG_034142.1
978,hsa203228,203228,NG_031977.2
979,hsa203259,203259,NG_027971.1
980,hsa203260,203260,NG_033120.1
981,hsa2033,2033,NG_009817.1
982,hsa2034,2034,NG_016000.1
983,hsa203447,203447,NG_021425.2
984,hsa2035,2035,NG_013344.1
985,hsa203522,203522,NG_055290.1
986,hsa203523,203523,NG_021220.1
987,hsa203547,203547,NG_016761.1
988,hsa2036,2036,NG_031853.3
989,hsa2038,2038,NG_011505.2
990,hsa204,204,NG_016269.1
991,hsa2042,2042,NG_023239.2
992,hsa2045,2045,NG_033944.1
993,hsa2048,2048,NG_011804.2
994,hsa2050,2050,NG_052671.1
995,hsa2052,2052,NG_009776.1
996,hsa2053,2053,NG_012064.1
997,hsa2056,2056,NG_021471.2
998,hsa2057,2057,NG_021395.1
999,hsa205717,205717,NG_055006.1
1000,hsa2059,2059,NG_041808.1
1001,hsa2064,2064,NG_007503.1
1002,hsa2065,2065,NG_011529.1
1003,hsa2066,2066,NG_011805.2
1004,hsa2067,2067,NG_015839.2
1005,hsa2068,2068,NG_007067.2
1006,hsa207,207,NG_012188.1
1007,hsa2070,2070,NG_011596.2
1008,hsa2071,2071,NG_007454.1
1009,hsa2072,2072,NG_011442.1
1010,hsa2073,2073,NG_007146.1
1011,hsa2074,2074,NG_009442.1
1012,hsa2077,2077,NG_042802.1
1013,hsa2078,2078,NG_029732.1
1014,hsa208,208,NG_012038.2
1015,hsa2099,2099,NG_008493.2
1016,hsa210,210,NG_008716.1
1017,hsa2100,2100,NG_011535.1
1018,hsa2103,2103,NG_012278.2
1019,hsa2104,2104,NG_029784.1
1020,hsa2108,2108,NG_007077.2
1021,hsa2109,2109,NG_007115.1
1022,hsa2110,2110,NG_007078.2
1023,hsa2113,2113,NG_029555.1
1024,hsa2115,2115,NG_029795.1
1025,hsa212,212,NG_008983.1
1026,hsa2120,2120,NG_011443.1
1027,hsa2122,2122,NG_028279.2
1028,hsa2125,2125,NG_051106.1
1029,hsa213,213,NG_009291.1
1030,hsa2130,2130,NG_023240.1
1031,hsa2131,2131,NG_007455.2
1032,hsa2132,2132,NG_007560.1
1033,hsa2138,2138,NG_011735.3
1034,hsa2139,2139,NG_011673.2
1035,hsa214,214,NG_029729.1
1036,hsa2146,2146,NG_032043.1
1037,hsa2147,2147,NG_008953.1
1038,hsa2149,2149,NG_032906.1
1039,hsa215,215,NG_009022.2
1040,hsa2152,2152,NG_029366.1
1041,hsa2153,2153,NG_011806.1
1042,hsa2155,2155,NG_009262.1
1043,hsa2157,2157,NG_011403.2
1044,hsa2158,2158,NG_007994.1
1045,hsa2159,2159,NG_009258.1
1046,hsa216,216,NG_012249.1
1047,hsa2160,2160,NG_008051.1
1048,hsa2161,2161,NG_007568.1
1049,hsa2162,2162,NG_008107.1
1050,hsa2165,2165,NG_012065.1
1051,hsa2166,2166,NG_012195.1
1052,hsa2169,2169,NG_011444.1
1053,hsa217,217,NG_012250.2
1054,hsa2170,2170,NG_047049.1
1055,hsa2171,2171,NG_028154.1
1056,hsa2173,2173,NG_050619.1
1057,hsa2175,2175,NG_011706.1
1058,hsa2176,2176,NG_011707.1
1059,hsa2177,2177,NG_007311.1
1060,hsa2178,2178,NG_011708.1
1061,hsa218,218,NG_012251.1
1062,hsa2182,2182,NG_008053.1
1063,hsa2184,2184,NG_012833.1
1064,hsa2185,2185,NG_029510.2
1065,hsa2186,2186,NG_052828.1
1066,hsa2187,2187,NG_007310.1
1067,hsa2188,2188,NG_007425.1
1068,hsa2189,2189,NG_007312.1
1069,hsa219,219,NG_012253.1
1070,hsa2191,2191,NG_027991.1
1071,hsa2192,2192,NG_023308.2
1072,hsa2195,2195,NG_046994.1
1073,hsa2196,2196,NG_046979.1
1074,hsa219736,219736,NG_012975.2
1075,hsa219844,219844,NG_011842.1
1076,hsa22,22,NG_007980.3
1077,hsa220,220,NG_012254.1
1078,hsa2200,2200,NG_008805.2
1079,hsa2201,2201,NG_008750.1
1080,hsa220136,220136,NG_042815.1
1081,hsa2202,2202,NG_009098.1
1082,hsa2203,2203,NG_008174.1
1083,hsa2206,2206,NG_016014.1
1084,hsa2207,2207,NG_029043.1
1085,hsa2208,2208,NG_029554.1
1086,hsa2209,2209,NG_007578.1
1087,hsa220965,220965,NG_053188.1
1088,hsa221,221,NG_012282.1
1089,hsa221037,221037,NG_053187.1
1090,hsa2212,2212,NG_012066.2
1091,hsa2213,2213,NG_023318.1
1092,hsa2214,2214,NG_009066.1
1093,hsa221400,221400,NG_051941.1
1094,hsa221421,221421,NG_023436.1
1095,hsa221458,221458,NG_054928.1
1096,hsa221472,221472,NG_051804.1
1097,hsa2215,2215,NG_032926.2
1098,hsa221833,221833,NG_029244.2
1099,hsa221895,221895,NG_011499.1
1100,hsa2219,2219,NG_046982.2
1101,hsa221935,221935,NG_051298.1
1102,hsa221981,221981,NG_027670.1
1103,hsa222,222,NG_012255.2
1104,hsa2220,2220,NG_011649.1
1105,hsa2224,2224,NG_045218.1
1106,hsa222546,222546,NG_027699.1
1107,hsa222662,222662,NG_012184.3
1108,hsa222663,222663,NG_050574.1
1109,hsa223,223,NG_012256.1
1110,hsa2235,2235,NG_008175.1
1111,hsa2239,2239,NG_012498.1
1112,hsa224,224,NG_007095.2
1113,hsa2241,2241,NG_011445.2
1114,hsa2242,2242,NG_029671.1
1115,hsa2243,2243,NG_008832.1
1116,hsa2244,2244,NG_008833.1
1117,hsa2245,2245,NG_008054.1
1118,hsa2247,2247,NG_029067.2
1119,hsa2248,2248,NG_009016.1
1120,hsa2250,2250,NG_029501.1
1121,hsa2252,2252,NG_029159.1
1122,hsa2253,2253,NG_007151.1
1123,hsa2254,2254,NG_016272.1
1124,hsa2255,2255,NG_011446.1
1125,hsa2257,2257,NG_051966.1
1126,hsa226,226,NG_008010.1
1127,hsa2260,2260,NG_007729.1
1128,hsa2261,2261,NG_012632.1
1129,hsa2263,2263,NG_012449.2
1130,hsa2264,2264,NG_012067.1
1131,hsa2266,2266,NG_008834.1
1132,hsa2271,2271,NG_012338.1
1133,hsa2272,2272,NG_007551.2
1134,hsa2273,2273,NG_015895.1
1135,hsa2274,2274,NG_008844.2
1136,hsa2277,2277,NG_012509.1
1137,hsa22797,22797,NG_030005.1
1138,hsa22800,22800,NG_017058.1
1139,hsa22801,22801,NG_046911.1
1140,hsa22806,22806,NG_029104.2
1141,hsa22827,22827,NG_033879.1
1142,hsa22845,22845,NG_017009.1
1143,hsa22852,22852,NG_031973.2
1144,hsa22853,22853,NG_013375.1
1145,hsa22854,22854,NG_042821.1
1146,hsa22856,22856,NG_031908.1
1147,hsa22858,22858,NG_012159.2
1148,hsa22861,22861,NG_011651.1
1149,hsa22866,22866,NG_016266.1
1150,hsa22868,22868,NG_008984.1
1151,hsa22871,22871,NG_046919.2
1152,hsa22872,22872,NG_029569.3
1153,hsa22877,22877,NG_033995.1
1154,hsa22880,22880,NG_046752.1
1155,hsa22882,22882,NG_046951.1
1156,hsa22885,22885,NG_051566.1
1157,hsa2289,2289,NG_012645.2
1158,hsa22891,22891,NG_021209.2
1159,hsa22895,22895,NG_052871.1
1160,hsa22899,22899,NG_034063.1
1161,hsa229,229,NG_012387.1
1162,hsa2290,2290,NG_009367.1
1163,hsa22900,22900,NG_029574.2
1164,hsa22902,22902,NG_051554.1
1165,hsa22909,22909,NG_032946.2
1166,hsa22914,22914,NG_027762.1
1167,hsa22915,22915,NG_032895.2
1168,hsa22920,22920,NG_012883.3
1169,hsa22926,22926,NG_029773.1
1170,hsa22930,22930,NG_016972.1
1171,hsa22931,22931,NG_032035.1
1172,hsa22934,22934,NG_016710.1
1173,hsa22941,22941,NG_042866.1
1174,hsa22948,22948,NG_012160.1
1175,hsa2295,2295,NG_046984.1
1176,hsa22953,22953,NG_033909.1
1177,hsa22954,22954,NG_011619.1
1178,hsa2296,2296,NG_009368.1
1179,hsa22976,22976,NG_023293.1
1180,hsa22978,22978,NG_042272.1
1181,hsa22983,22983,NG_054729.1
1182,hsa22985,22985,NG_030461.1
1183,hsa22990,22990,NG_051070.1
1184,hsa22993,22993,NG_021389.1
1185,hsa22995,22995,NG_027518.2
1186,hsa22999,22999,NG_016209.1
1187,hsa23,23,NG_047030.1
1188,hsa2300,2300,NG_032995.1
1189,hsa23001,23001,NG_046917.1
1190,hsa23002,23002,NG_047127.1
1191,hsa23005,23005,NG_054745.1
1192,hsa23013,23013,NG_050663.1
1193,hsa2302,2302,NG_013345.1
1194,hsa23020,23020,NG_016973.1
1195,hsa23022,23022,NG_013376.1
1196,hsa23024,23024,NG_047128.1
1197,hsa23025,23025,NG_052872.1
1198,hsa23026,23026,NG_053147.1
1199,hsa23028,23028,NG_047129.1
1200,hsa2303,2303,NG_012025.2
1201,hsa23036,23036,NG_054887.1
1202,hsa23037,23037,NG_033962.2
1203,hsa2304,2304,NG_011979.1
1204,hsa23040,23040,NG_051313.1
1205,hsa23043,23043,NG_054934.1
1206,hsa23047,23047,NG_021308.2
1207,hsa23048,23048,NG_033946.1
1208,hsa2305,2305,NG_029590.2
1209,hsa23051,23051,NG_046923.1
1210,hsa23059,23059,NG_047131.1
1211,hsa23064,23064,NG_007946.1
1212,hsa23065,23065,NG_032948.1
1213,hsa23077,23077,NG_053031.1
1214,hsa2308,2308,NG_023244.1
1215,hsa23082,23082,NG_047132.1
1216,hsa23086,23086,NG_042852.1
1217,hsa23089,23089,NG_011340.1
1218,hsa23090,23090,NG_032972.2
1219,hsa23092,23092,NG_016711.2
1220,hsa23093,23093,NG_016974.1
1221,hsa23094,23094,NG_046730.1
1222,hsa23095,23095,NG_008069.1
1223,hsa23108,23108,NG_013030.2
1224,hsa23111,23111,NG_011559.2
1225,hsa23114,23114,NG_029938.1
1226,hsa23118,23118,NG_021386.2
1227,hsa2312,2312,NG_016190.1
1228,hsa23126,23126,NG_046601.1
1229,hsa2313,2313,NG_032912.1
1230,hsa23131,23131,NG_041943.1
1231,hsa23133,23133,NG_021309.1
1232,hsa23135,23135,NG_053032.1
1233,hsa2314,2314,NG_023243.1
1234,hsa23141,23141,NG_034022.1
1235,hsa23143,23143,NG_021335.1
1236,hsa23150,23150,NG_034059.1
1237,hsa23152,23152,NG_042060.1
1238,hsa23157,23157,NG_012565.1
1239,hsa2316,2316,NG_011506.2
1240,hsa23165,23165,NG_051184.1
1241,hsa23167,23167,NG_028112.2
1242,hsa23168,23168,NG_027680.1
1243,hsa2317,2317,NG_012801.1
1244,hsa23178,23178,NG_052850.1
1245,hsa2318,2318,NG_011807.1
1246,hsa23181,23181,NG_015996.1
1247,hsa23189,23189,NG_016331.2
1248,hsa23191,23191,NG_054889.1
1249,hsa23193,23193,NG_053018.1
1250,hsa23195,23195,NG_034012.1
1251,hsa23199,23199,NG_054715.1
1252,hsa23203,23203,NG_046789.1
1253,hsa23204,23204,NG_042860.1
1254,hsa23207,23207,NG_053033.1
1255,hsa23209,23209,NG_009162.1
1256,hsa2321,2321,NG_012003.1
1257,hsa23211,23211,NG_027798.1
1258,hsa2322,2322,NG_007066.1
1259,hsa23221,23221,NG_047133.1
1260,hsa23224,23224,NG_011756.2
1261,hsa23229,23229,NG_016975.1
1262,hsa23230,23230,NG_008931.1
1263,hsa23233,23233,NG_050967.1
1264,hsa23236,23236,NG_028168.1
1265,hsa23239,23239,NG_031923.1
1266,hsa2324,2324,NG_011536.1
1267,hsa23242,23242,NG_051816.1
1268,hsa23244,23244,NG_021172.1
1269,hsa23247,23247,NG_046731.1
1270,hsa23253,23253,NG_047134.1
1271,hsa23254,23254,NG_029844.2
1272,hsa23258,23258,NG_053019.1
1273,hsa23261,23261,NG_053148.1
1274,hsa23262,23262,NG_051568.1
1275,hsa23265,23265,NG_030672.1
1276,hsa2328,2328,NG_012690.1
1277,hsa23284,23284,NG_033950.2
1278,hsa23286,23286,NG_016712.1
1279,hsa23291,23291,NG_009275.2
1280,hsa23293,23293,NG_033980.1
1281,hsa23299,23299,NG_033908.1
1282,hsa23301,23301,NG_016758.2
1283,hsa23305,23305,NG_028290.2
1284,hsa23312,23312,NG_017155.1
1285,hsa23314,23314,NG_016976.2
1286,hsa23316,23316,NG_023039.2
1287,hsa23317,23317,NG_051045.1
1288,hsa2332,2332,NG_007529.2
1289,hsa23321,23321,NG_041788.1
1290,hsa23325,23325,NG_034157.1
1291,hsa23327,23327,NG_029954.1
1292,hsa23328,23328,NG_051927.1
1293,hsa23334,23334,NG_029091.1
1294,hsa23336,23336,NG_008210.2
1295,hsa2334,2334,NG_016313.2
1296,hsa23345,23345,NG_012855.2
1297,hsa23347,23347,NG_031972.1
1298,hsa2335,2335,NG_012196.1
1299,hsa23352,23352,NG_027669.1
1300,hsa23360,23360,NG_053146.1
1301,hsa23363,23363,NG_016977.1
1302,hsa23365,23365,NG_027960.1
1303,hsa23368,23368,NG_046915.1
1304,hsa23370,23370,NG_047135.1
1305,hsa23380,23380,NG_033804.1
1306,hsa23382,23382,NG_029180.1
1307,hsa23384,23384,NG_031915.2
1308,hsa23385,23385,NG_027935.1
1309,hsa23389,23389,NG_023366.1
1310,hsa23394,23394,NG_034200.1
1311,hsa23396,23396,NG_012161.2
1312,hsa23400,23400,NG_009054.1
1313,hsa23405,23405,NG_016311.1
1314,hsa23411,23411,NG_050664.1
1315,hsa23414,23414,NG_011723.2
1316,hsa23417,23417,NG_009079.1
1317,hsa23418,23418,NG_008483.2
1318,hsa23421,23421,NG_030011.1
1319,hsa23424,23424,NG_028984.1
1320,hsa23426,23426,NG_021400.2
1321,hsa23431,23431,NG_031875.2
1322,hsa23432,23432,NG_053052.1
1323,hsa23435,23435,NG_008734.1
1324,hsa23438,23438,NG_021415.1
1325,hsa23450,23450,NG_046937.1
1326,hsa23451,23451,NG_032903.2
1327,hsa2346,2346,NG_029170.1
1328,hsa23469,23469,NG_034034.1
1329,hsa23474,23474,NG_008141.1
1330,hsa23479,23479,NG_011857.1
1331,hsa2348,2348,NG_015863.1
1332,hsa23483,23483,NG_041837.1
1333,hsa23492,23492,NG_051974.1
1334,hsa23495,23495,NG_007281.1
1335,hsa23499,23499,NG_050926.1
1336,hsa23503,23503,NG_011836.1
1337,hsa23506,23506,NG_054763.1
1338,hsa23509,23509,NG_033906.1
1339,hsa23511,23511,NG_033111.1
1340,hsa23512,23512,NG_009237.1
1341,hsa23513,23513,NG_030583.1
1342,hsa23522,23522,NG_032048.1
1343,hsa23523,23523,NG_047136.1
1344,hsa23529,23529,NG_013377.1
1345,hsa2353,2353,NG_029673.1
1346,hsa23530,23530,NG_032869.1
1347,hsa23533,23533,NG_030374.1
1348,hsa23534,23534,NG_023428.1
1349,hsa2354,2354,NG_029675.1
1350,hsa23542,23542,NG_032955.2
1351,hsa23543,23543,NG_029628.1
1352,hsa23545,23545,NG_012743.1
1353,hsa23554,23554,NG_023203.1
1354,hsa2356,2356,NG_023245.1
1355,hsa23568,23568,NG_033905.1
1356,hsa23569,23569,NG_023261.2
1357,hsa2357,2357,NG_023426.1
1358,hsa23583,23583,NG_047137.1
1359,hsa23586,23586,NG_046918.1
1360,hsa23592,23592,NG_016210.2
1361,hsa23593,23593,NG_050594.1
1362,hsa23594,23594,NG_028241.1
1363,hsa23600,23600,NG_016211.1
1364,hsa23607,23607,NG_008878.1
1365,hsa23616,23616,NG_053097.2
1366,hsa23621,23621,NG_029372.1
1367,hsa23624,23624,NG_054718.1
1368,hsa23635,23635,NG_051589.1
1369,hsa23636,23636,NG_023448.1
1370,hsa23646,23646,NG_034098.1
1371,hsa23670,23670,NG_053053.1
1372,hsa23677,23677,NG_033930.1
1373,hsa23678,23678,NG_050857.1
1374,hsa23708,23708,NG_016857.1
1375,hsa23743,23743,NG_029157.1
1376,hsa23746,23746,NG_008474.1
1377,hsa23761,23761,NG_050741.1
1378,hsa23765,23765,NG_028257.1
1379,hsa23767,23767,NG_033913.1
1380,hsa23780,23780,NG_023229.2
1381,hsa238,238,NG_009445.1
1382,hsa2395,2395,NG_008845.2
1383,hsa24,24,NG_009073.1
1384,hsa240,240,NG_011437.1
1385,hsa241,241,NG_011963.2
1386,hsa24137,24137,NG_016799.1
1387,hsa24140,24140,NG_008879.1
1388,hsa24145,24145,NG_027936.1
1389,hsa24148,24148,NG_029719.1
1390,hsa242,242,NG_007099.2
1391,hsa245973,245973,NG_050575.1
1392,hsa246243,246243,NG_051310.1
1393,hsa246329,246329,NG_033835.1
1394,hsa246330,246330,NG_029627.1
1395,hsa2475,2475,NG_033239.1
1396,hsa2483,2483,NG_008142.1
1397,hsa2487,2487,NG_017197.1
1398,hsa2488,2488,NG_008144.1
1399,hsa249,249,NG_008940.1
1400,hsa2491,2491,NG_012510.1
1401,hsa2492,2492,NG_008146.1
1402,hsa2494,2494,NG_050913.1
1403,hsa2495,2495,NG_008346.1
1404,hsa25,25,NG_012034.1
1405,hsa250,250,NG_012189.1
1406,hsa2512,2512,NG_008152.1
1407,hsa2516,2516,NG_008176.1
1408,hsa2517,2517,NG_013346.1
1409,hsa2519,2519,NG_027676.1
1410,hsa2521,2521,NG_012889.2
1411,hsa2523,2523,NG_007510.2
1412,hsa2525,2525,NG_007482.2
1413,hsa2529,2529,NG_007527.1
1414,hsa252969,252969,NG_053043.1
1415,hsa2531,2531,NG_028249.1
1416,hsa2532,2532,NG_011626.3
1417,hsa2533,2533,NG_029596.2
1418,hsa253461,253461,NG_021426.1
1419,hsa253738,253738,NG_030038.1
1420,hsa253769,253769,NG_046155.1
1421,hsa2538,2538,NG_011808.1
1422,hsa253827,253827,NG_023441.1
1423,hsa2539,2539,NG_009015.2
1424,hsa253959,253959,NG_051667.1
1425,hsa254065,254065,NG_021349.1
1426,hsa254170,254170,NG_027725.1
1427,hsa254251,254251,NG_015822.2
1428,hsa2548,2548,NG_009822.1
1429,hsa254863,254863,NG_054929.1
1430,hsa2550,2550,NG_029101.1
1431,hsa255022,255022,NG_016855.1
1432,hsa255061,255061,NG_029377.1
1433,hsa255101,255101,NG_051336.1
1434,hsa2553,2553,NG_029475.2
1435,hsa2554,2554,NG_011548.1
1436,hsa2555,2555,NG_012835.2
1437,hsa255520,255520,NG_027825.1
1438,hsa2556,2556,NG_007102.2
1439,hsa255631,255631,NG_053093.1
1440,hsa2557,2557,NG_011809.1
1441,hsa255738,255738,NG_009061.1
1442,hsa255758,255758,NG_054930.1
1443,hsa255928,255928,NG_031962.1
1444,hsa2560,2560,NG_051831.1
1445,hsa2561,2561,NG_047050.1
1446,hsa2562,2562,NG_012836.1
1447,hsa256297,256297,NG_009798.1
1448,hsa2563,2563,NG_008168.1
1449,hsa2565,2565,NG_046964.1
1450,hsa2566,2566,NG_009290.1
1451,hsa2567,2567,NG_032887.2
